Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliff,Cut/Rough,Karat,Abmessung,Anmerkung,Versand, Preis,Anzahl,Summe  Karat,Preis/Karat,,,,,,,,,
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,22","7,83x5,88x3,52","16,65","13,65",,,,,1,,,,,,,,"24,98"
Tansanit,Tansania,,VVS,,transparent,Kissen,Cut,"1,23",7.52X5.07X3.57,"24,14","19,63",Ebay,"22,99","-1,15",,1,,,,,,,,"36,21"
Tansanit,Tansania,,VVS,Grün-blau,transparent,oval,Cut,"1,24", 8.39 X 6.53 X 3.41,"16,46","13,27",Ebay,"14,99","-1,47",,1,,,,,,,,"24,69"
Tansanit,Tansania,,VVS,Violett-blau,transparent,Kissen,Cut,"1,33","7,80x5,94x3,49","33,16","24,93",'–,'–,,,1,,,,,,,,"49,74"
Tansanit,Tansania,,VVS,,transparent,Oktagon,Cut,"1,33","8,40x4,60x3,60","8,63","6,49",,,,,1,,,,,,,,"12,95"
Tansanit,Tansania,,VVS,Violett-blau,transparent,oval,Cut,"1,36","8,79x6,76x3,33","32,26","23,72",'–,'–,,,1,,,,,,,,"48,39"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,37","8,30x6,28x3,66","11,57","8,45",Ebay,"29,99","18,42",,1,,,,,,,,"17,36"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,38",7.96 X 5.86 X 3.63,"28,14","20,39",,,,,1,,,,,,,,"42,21"
Tansanit,Tansania,,IF ,Violett-blau,transparent,oval,Cut,"1,4","7,96x5,73x4,32","28,56","20,4",?,,,,1,,,,,,,,"42,84"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,46","8,05x6,05x4,26","27,18","18,62",,,,,1,,,,,,,,"40,77"
Tansanit,Tansania,,IF ,,transparent,oval,Cut,"1,47","8,33x6,57x3,76","30,94","21,05",Ebay,"32,99","2,05",,1,,,,,,,,"46,41"
Tansanit,Tansania,,VVS,,transparent,Rund,Cut,"1,49","6,92x6,92x4,38","24,93","16,73",Ebay,"26,49","1,56",,1,,,,,,,,"37,4"
Tansanit,Tansania,2,VVS,,transparent,Trilliant,Cut,"1,5","5,94x6,07x3,06","10,39","6,93",,,,,1,,,,,,,,"15,59"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"1,53",8.67x6.54x4.18,"38,13","24,92",Ebay,"39,99","1,86",,1,,,,,,,,"57,2"
Tansanit,Tansania,,VVS,Grün ,transparent,oval,Cut,"1,55","7,2x8,3x3,7","15,62","10,08",,,,,1,,,,,,,,"23,43"
Tansanit,Tansania,,IF ,,transparent,oval,Cut,"1,58",9.40x6.28x3.73,"18,89","11,96",,,,,1,,,,,,,,"28,34"
Tansanit,Tansania,,VVS,,transparent,Marquise,Cut,"1,62",12.56X5.92X3.21,"23,42","14,46",,,,,1,,,,,,,,"35,13"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,66",7.48X5.97X4.68,"52,89","31,86",Ebay,65,"12,11",,1,,,,,,,,"79,34"
Tansanit,Tansania,,VVS,Grün ,transparent,oval,Cut,"1,66","8,9x6,6x4,3","49,25","29,67",,,,,1,,,,,,,,"73,88"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,67","8,16x6,21x3,95","27,18","16,28",Ebay,"32,99","5,81",,1,,,,,,,,"40,77"
Tansanit,Tansania,,VVS,,transparent,oval,Cut,"1,68","8,33x6,35x4,09","27,12","16,14",Ebay,"29,99","2,87",,1,,,,,,,,"40,68"
